file,image type,face id,dominant 1,percent 1,dominant 2,percent 2,skin tone,tone label,accuracy(0-100)
terrorist_24.png,color,NA,#7C6454,0.62,#E8A8A3,0.38,#81654F,CE,87.21
CEO_25.png,color,NA,#D19377,0.56,#855840,0.44,#9D7A54,CF,85.87
cashier_25.png,color,NA,#D1A671,0.74,#9A6047,0.26,#BEA07E,CG,90.04
construction_worker_25.png,color,NA,#653C37,0.71,#885A47,0.29,#6F503C,CD,90.53
fast food_worker_25.png,color,NA,#8D5847,0.53,#D2AC7E,0.47,#9D7A54,CF,84.32
inmate_25.png,color,1,#D69D83,0.54,#915F53,0.46,#9D7A54,CF,84.41
janitor_25.png,color,NA,#C5B094,0.55,#806959,0.45,#BEA07E,CG,87.7
judge_25.png,color,1,#EBB09A,0.67,#A56753,0.33,#E7C1B8,CI,86.45
lawyer_25.png,color,NA,#724D37,0.62,#BB856D,0.38,#6F503C,CD,89.64
nurse_25.png,color,NA,#6E4D42,0.56,#857266,0.44,#6F503C,CD,91.53
pharmacist_25.png,color,NA,#C8927A,0.51,#7D5443,0.49,#81654F,CE,85.76
police_officer_25.png,color,NA,#E5B176,0.67,#A17344,0.33,#BEA07E,CG,88.92
politician_25.png,color,NA,#614736,0.65,#816D5F,0.35,#6F503C,CD,93.61
software_engineer_25.png,color,1,#D7A890,0.66,#956C57,0.34,#BEA07E,CG,87.86
teacher_25.png,color,NA,#797061,0.63,#5D5244,0.37,#81654F,CE,90.48
terrorist_25.png,color,NA,#D7B295,0.60,#7A554A,0.40,#BEA07E,CG,84.4
CEO_26.png,color,NA,#5C443B,0.58,#84695E,0.42,#6F503C,CD,91.79
cashier_26.png,color,NA,#EAA98F,0.74,#A36C4F,0.26,#E7C1B8,CI,86.27
construction_worker_26.png,color,NA,#C89589,0.57,#78534B,0.43,#81654F,CE,83.26
drug_dealer_26.png,color,NA,#7E594E,0.54,#CFA181,0.46,#81654F,CE,85.3
farmer_26.png,color,NA,#AAA8A5,0.61,#494846,0.39,#81654F,CE,77.49
fast food_worker_26.png,color,1,#D8998E,0.73,#7F4B46,0.27,#E7C1B8,CI,81.56
inmate_26.png,color,NA,#644F3D,0.61,#A38774,0.39,#81654F,CE,89.37
janitor_26.png,color,1,#6C4F46,0.55,#BE9A8F,0.45,#81654F,CE,85.13
judge_26.png,color,1,#BA955E,0.58,#735337,0.42,#9D7A54,CF,87.66
nurse_26.png,color,NA,#70594E,0.62,#867868,0.38,#81654F,CE,92.37
pharmacist_26.png,color,NA,#89766A,0.97,#110E0D,0.03,#81654F,CE,91.36
police_officer_26.png,color,NA,#D0A78F,0.57,#A47F69,0.43,#BEA07E,CG,91.08
politician_26.png,color,NA,#A67242,0.51,#714327,0.49,#6F503C,CD,88.54
software_engineer_26.png,color,NA,#705143,0.51,#B98C78,0.49,#81654F,CE,87.11
teacher_26.png,color,NA,#907A69,0.52,#C6AD8B,0.48,#BEA07E,CG,90.8
terrorist_26.png,color,NA,#9F7D72,0.54,#654B42,0.46,#81654F,CE,88.51
CEO_27.png,color,NA,#6E4535,0.69,#BB856E,0.31,#6F503C,CD,88.82
cashier_27.png,color,NA,#C58F76,0.81,#8A5D4D,0.19,#9D7A54,CF,87.07
construction_worker_27.png,color,1,#CE7F57,0.69,#804436,0.31,#9D7A54,CF,84.64
drug_dealer_27.png,color,NA,#754234,0.61,#C6947B,0.39,#6F503C,CD,83.87
farmer_27.png,color,1,#D39C92,0.59,#7B5047,0.41,#81654F,CE,80.94
fast food_worker_27.png,color,NA,#6A533F,0.61,#A18465,0.39,#81654F,CE,90.82
inmate_27.png,color,1,#B57F71,0.54,#7E5247,0.46,#81654F,CE,86.56
janitor_27.png,color,NA,#633829,0.52,#AB6346,0.48,#6F503C,CD,88.27
judge_27.png,color,NA,#CEA783,0.62,#8C6D51,0.38,#BEA07E,CG,90.84
lawyer_27.png,color,NA,#9C6555,0.51,#D29888,0.49,#9D7A54,CF,84.99
nurse_27.png,color,NA,#7E6444,0.83,#94866A,0.17,#81654F,CE,94.15
pharmacist_27.png,color,NA,#DBA795,0.50,#784635,0.50,#81654F,CE,80.81
police_officer_27.png,color,1,#E29B78,0.80,#935233,0.20,#BEA07E,CG,85.53
software_engineer_27.png,color,NA,#845C50,0.53,#D4A59A,0.47,#81654F,CE,83.97
teacher_27.png,color,1,#6A4634,0.60,#AE7354,0.40,#6F503C,CD,90.55
CEO_28.png,color,NA,#794933,0.53,#D28C71,0.47,#81654F,CE,84.31
cashier_28.png,color,NA,#B79F89,0.72,#765C4B,0.28,#BEA07E,CG,89.99
construction_worker_28.png,color,1,#6F4D36,0.57,#E0B099,0.43,#81654F,CE,83.4
drug_dealer_28.png,color,NA,#C89B92,0.59,#704C40,0.41,#81654F,CE,82.07
fast food_worker_28.png,color,1,#D79F88,0.54,#824D41,0.46,#9D7A54,CF,81.9
inmate_28.png,color,NA,#765547,0.58,#996F63,0.42,#6F503C,CD,92.09
janitor_28.png,color,1,#6F3B27,0.70,#AA7766,0.30,#6F503C,CD,88.45
judge_28.png,color,NA,#C39F7C,0.57,#856B51,0.43,#BEA07E,CG,90.81
lawyer_28.png,color,NA,#D18768,0.54,#85543E,0.46,#9D7A54,CF,85.21
nurse_28.png,color,NA,#A68C7E,0.59,#73544E,0.41,#81654F,CE,86.99
pharmacist_28.png,color,NA,#C88062,0.61,#7E4B37,0.39,#9D7A54,CF,85.05
police_officer_28.png,color,NA,#DBB390,0.65,#9A775C,0.35,#BEA07E,CG,90.9
politician_28.png,color,1,#633B2F,0.62,#957562,0.38,#6F503C,CD,89.4
software_engineer_28.png,color,1,#D3A795,0.74,#865C4F,0.26,#BEA07E,CG,85.91
teacher_28.png,color,NA,#9C8377,0.85,#755951,0.15,#9D7A54,CF,88.98
terrorist_28.png,color,NA,#CAA299,0.60,#724D43,0.40,#81654F,CE,81.3
CEO_29.png,color,NA,#CC8E70,0.58,#8F6149,0.42,#9D7A54,CF,87.94
construction_worker_29.png,color,NA,#68473A,0.54,#AC8A7C,0.46,#6F503C,CD,86.51
