file,image type,face id,dominant 1,percent 1,dominant 2,percent 2,skin tone,tone label,accuracy(0-100)
politician_69.png,color,1,#D8A181,0.66,#89624B,0.34,#BEA07E,CG,87.07
software_engineer_69.png,color,1,#B77556,0.68,#512F21,0.32,#9D7A54,CF,84.44
teacher_69.png,color,1,#B58564,0.64,#7C482A,0.36,#9D7A54,CF,88.64
terrorist_69.png,color,1,#CB9482,0.57,#78412F,0.43,#9D7A54,CF,81.81
CEO_70.png,color,1,#866857,0.50,#C09086,0.50,#81654F,CE,88.33
cashier_70.png,color,NA,#83462A,0.57,#C79589,0.43,#81654F,CE,83.44
construction_worker_70.png,color,1,#AF877C,0.52,#69453A,0.48,#81654F,CE,85.52
drug_dealer_70.png,color,1,#613626,0.65,#AC724D,0.35,#6F503C,CD,87.91
farmer_70.png,color,NA,#B18F83,0.56,#694C3E,0.44,#81654F,CE,85.95
fast food_worker_70.png,color,1,#63574E,0.55,#817566,0.45,#81654F,CE,90.74
inmate_70.png,color,NA,#B58173,0.62,#6F5847,0.38,#81654F,CE,87.78
janitor_70.png,color,1,#564B42,0.67,#6F6257,0.33,#6F503C,CD,90.88
judge_70.png,color,1,#C0948B,0.73,#75534A,0.27,#9D7A54,CF,82.89
lawyer_70.png,color,NA,#E29C84,0.82,#945E4B,0.18,#BEA07E,CG,85.09
nurse_70.png,color,1,#93756A,0.66,#71433F,0.34,#81654F,CE,89.0
pharmacist_70.png,color,NA,#804C3F,0.67,#C99E91,0.33,#81654F,CE,84.62
police_officer_70.png,color,NA,#695451,0.86,#AC9982,0.14,#6F503C,CD,88.66
politician_70.png,color,1,#CD9385,0.57,#957162,0.43,#9D7A54,CF,86.46
software_engineer_70.png,color,1,#C49174,0.53,#694D40,0.47,#81654F,CE,85.39
teacher_70.png,color,1,#AC7757,0.83,#5E4030,0.17,#9D7A54,CF,90.78
terrorist_70.png,color,NA,#B88E87,0.73,#664343,0.27,#9D7A54,CF,81.7
CEO_71.png,color,NA,#646766,0.58,#B3B6B9,0.42,#81654F,CE,78.3
cashier_71.png,color,NA,#DAB38E,0.71,#67443E,0.29,#BEA07E,CG,84.56
construction_worker_71.png,color,NA,#CD3F21,0.77,#6C5652,0.23,#81654F,CE,81.74
drug_dealer_71.png,color,1,#6E4536,0.65,#BF8B6E,0.35,#6F503C,CD,87.07
farmer_71.png,color,NA,#AC8B76,0.54,#684A34,0.46,#81654F,CE,87.44
fast food_worker_71.png,color,1,#7A503C,0.66,#D79C71,0.34,#81654F,CE,86.54
inmate_71.png,color,1,#634039,0.59,#9C6D62,0.41,#6F503C,CD,89.29
janitor_71.png,color,NA,#E59E86,0.70,#853E35,0.30,#BEA07E,CG,79.63
judge_71.png,color,NA,#998872,0.65,#6C5B4F,0.35,#9D7A54,CF,89.04
lawyer_71.png,color,1,#653D2F,0.57,#9B5F49,0.43,#6F503C,CD,90.87
nurse_71.png,color,1,#C89C89,0.75,#78442D,0.25,#BEA07E,CG,84.58
pharmacist_71.png,color,NA,#7E4931,0.51,#D38E69,0.49,#9D7A54,CF,83.92
police_officer_71.png,color,1,#978164,0.52,#6D5A48,0.48,#81654F,CE,91.29
